"File generated by GSOFT40k V7.240"
"data from 02309915 EASYLog 80"



"Serial no.";"02309915"
"Type";"EASYLog 80"
"Version";"2.8"

"Data Sets";97
"First";"2022-07-15 15:24:15"
"Last";"2022-07-17 15:24:15"
;"Identification";"Store 4";"3_Store26_Temp.";
;"Alarm Min";"20.0 % RH";"15.0 �C";
;"Alarm Max";"65.0 % RH";"25.0 �C";
;"Alarm Delay";"15 min";"15 min";

;"EASYBus";"Address";"9";"10";
;"EASYBus";"ID";"02309915";"02309916";
;"Display";"Range";"0.0...100.0 % RH";"-25.0...60.0 �C";
;"Display";"Source";"Rel. Air Humidity";"Temperature";
;"Correction";"Offset";"0.0% RH";"0.0�C";
;"Correction";"Scale";"0.00%";"0.00%";

"No";"Date";"Store 4";"3_Store26_Temp."
75;"2022-07-17 04:24:15"; 29.6; 30.2
76;"2022-07-17 04:54:15"; 30.1; 30.2
77;"2022-07-17 05:24:15"; 30.7; 30.2
78;"2022-07-17 05:54:15"; 31.2; 30.2
79;"2022-07-17 06:24:15"; 31.4; 30.3
80;"2022-07-17 06:54:15"; 31.4; 30.3
81;"2022-07-17 07:24:15"; 31.8; 30.3
82;"2022-07-17 07:54:15"; 32.2; 30.3
83;"2022-07-17 08:24:15"; 32.9; 25.9
84;"2022-07-17 08:54:15"; 32.2; 23.8
85;"2022-07-17 09:24:15"; 32.3; 23
86;"2022-07-17 09:54:15"; 32.4; 22.6
87;"2022-07-17 10:24:15"; 33.9; 22.8
88;"2022-07-17 10:54:15"; 32.4; 22.6
89;"2022-07-17 11:24:15"; 33.5; 22.6
90;"2022-07-17 11:54:15"; 32.5; 22.7
91;"2022-07-17 12:24:15"; 33; 22.5
92;"2022-07-17 12:54:15"; 33.3; 22.4
93;"2022-07-17 13:24:15"; 32.6; 22.4
94;"2022-07-17 13:54:15"; 32.4; 22.4
95;"2022-07-17 14:24:15"; 32.6; 22.5
96;"2022-07-17 14:54:15"; 32.7; 22.4
97;"2022-07-17 15:24:15"; 32.6; 22.4
